Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Building,Wall,210.16,31.4,16.73,Low,Low,Partial,Ground,Crack
Road,Beam,378.15,41.55,6.29,Low,Low,None,UAV,Healthy
Building,Wall,15.23,9.92,45.12,Low,Low,None,Ground,Corrosion
Bridge,Wall,138.16,45.9,5.89,High,High,None,Ground,Healthy
Bridge,Beam,261.21,27.9,57.36,Low,Low,Partial,Fixed Camera,Corrosion
Building,Column,138.08,15.31,38.89,Medium,Normal,None,UAV,Deformation
Building,Column,316.07,21.83,75.96,Low,Low,None,Fixed Camera,Crack
Road,Wall,243.52,15.95,31.26,High,Low,Severe,UAV,Spalling
Tunnel,Beam,184.05,36.39,59.71,High,Normal,Severe,Fixed Camera,Corrosion
Building,Column,474.86,39.92,54.23,Low,Normal,Severe,Ground,Spalling
Bridge,Beam,317.92,41.73,1.47,Low,High,Severe,UAV,Spalling
Road,Beam,69.32,49.3,8.17,High,Normal,Partial,UAV,Spalling
Building,Beam,282.25,39.67,29.75,Low,Normal,Severe,UAV,Spalling
Bridge,Surface,391.46,30.27,88.34,Low,Low,None,UAV,Crack
Bridge,Beam,355.7,17.29,15.55,High,Normal,Severe,Ground,Crack
Tunnel,Surface,90.18,27.46,71.38,High,High,Partial,Ground,Spalling
Road,Wall,486.35,2.53,97.36,Medium,Low,Severe,Ground,Crack
Road,Column,227.16,37.37,79.27,Low,High,Severe,Fixed Camera,Crack
Tunnel,Column,83.72,22.57,25.05,Low,Normal,Partial,Ground,Crack
Tunnel,Column,94.2,1.49,90.93,Low,High,Partial,Fixed Camera,Crack
Road,Column,53.63,3.59,10.22,High,High,Partial,Fixed Camera,Spalling
Road,Column,402.74,19.68,47.35,High,Normal,Partial,Ground,Spalling
Building,Column,65.41,29.38,88.87,High,Normal,Partial,Ground,Healthy
Building,Column,66.94,23.48,64.49,Low,Low,Partial,Ground,Corrosion
Tunnel,Wall,425.98,31.15,41.95,Medium,Low,None,Fixed Camera,Healthy
Building,Beam,175.58,24.27,29.99,Low,Low,Severe,UAV,Spalling
Bridge,Deck,20.27,33.25,38.13,Low,Normal,Severe,Ground,Healthy
Building,Surface,30.69,11.35,51.39,High,High,Partial,Fixed Camera,Deformation
Building,Deck,75.37,6.09,32.59,Low,High,Partial,Fixed Camera,Deformation
Bridge,Deck,110.63,30.02,96.93,Medium,Low,None,Ground,Corrosion
Tunnel,Beam,334.25,24.49,93.37,Medium,Low,None,Fixed Camera,Crack
Bridge,Beam,82.88,1.83,87.2,High,Normal,Partial,Ground,Crack
Building,Beam,63.84,19.33,42.76,High,High,None,Fixed Camera,Healthy
Tunnel,Column,383.54,5.75,69.44,High,Low,None,UAV,Healthy
Building,Wall,337.17,26.8,90.38,Medium,Normal,Partial,Fixed Camera,Deformation
Bridge,Column,220.49,20.09,85.19,Low,Low,Partial,Ground,Healthy
Bridge,Wall,276.91,30.85,42.02,Medium,Normal,Partial,UAV,Healthy
Building,Wall,159.43,40.38,12.13,Medium,High,Partial,Ground,Spalling
Road,Deck,243.84,15.33,8.49,Medium,Normal,Severe,Fixed Camera,Spalling
Road,Deck,255.8,48.12,58.13,Medium,Low,Severe,UAV,Corrosion
Bridge,Wall,196.68,27.01,64.62,Low,Low,Partial,UAV,Corrosion
Bridge,Wall,453.75,31.11,85.13,Low,High,None,Fixed Camera,Crack
Road,Column,12.95,34.19,29.96,Low,High,Partial,UAV,Corrosion
Road,Column,392.17,33.5,17.58,Medium,Low,Severe,UAV,Spalling
Building,Deck,66.57,25.79,38.52,Medium,Low,None,UAV,Corrosion
Building,Beam,399.79,21.72,36.0,Medium,Low,Severe,Ground,Healthy
Road,Wall,309.88,3.16,14.11,Low,High,Partial,Ground,Corrosion
Building,Column,422.42,1.59,67.56,Low,Low,Severe,UAV,Crack
Building,Deck,53.27,18.22,51.36,High,High,Severe,Fixed Camera,Deformation
Tunnel,Column,281.7,17.02,72.39,High,Low,Severe,Fixed Camera,Spalling
Building,Wall,253.04,19.69,35.92,Medium,Normal,None,Ground,Crack
Bridge,Wall,354.57,7.35,33.24,Medium,Normal,Severe,Fixed Camera,Spalling
Building,Surface,269.47,37.04,47.79,Low,Low,None,UAV,Corrosion
Building,Beam,272.66,42.92,87.86,Medium,Normal,Partial,Fixed Camera,Healthy
Road,Surface,217.65,46.97,4.99,High,High,Partial,Ground,Spalling
Bridge,Deck,157.87,24.87,80.68,Medium,Normal,Severe,Ground,Crack
Building,Column,243.72,35.19,37.53,Medium,Normal,None,UAV,Spalling
Building,Deck,63.65,42.85,85.61,Medium,High,Partial,Ground,Healthy
Tunnel,Wall,480.95,21.21,80.42,Medium,Normal,None,Ground,Spalling
Building,Surface,358.63,15.82,35.53,Medium,Normal,None,Ground,Deformation
Building,Surface,476.47,46.87,69.69,Medium,Low,Severe,Fixed Camera,Crack
Tunnel,Surface,117.23,26.03,16.8,Medium,High,Severe,Ground,Healthy
Road,Deck,440.27,25.11,89.73,Low,High,None,Fixed Camera,Deformation
Building,Wall,405.35,9.33,41.04,High,Low,None,Ground,Deformation
Tunnel,Column,340.19,5.85,46.11,High,Low,Severe,Ground,Corrosion
Bridge,Column,314.39,42.18,70.87,Low,Normal,None,Fixed Camera,Healthy
Road,Deck,161.69,30.9,82.26,Medium,Normal,Severe,Fixed Camera,Spalling
Bridge,Surface,409.12,16.63,24.4,Low,Normal,None,UAV,Healthy
Bridge,Beam,253.25,9.99,66.47,Low,Low,Severe,UAV,Corrosion
Tunnel,Deck,40.09,28.0,39.81,Low,High,None,Fixed Camera,Crack
Building,Deck,159.87,29.4,37.5,Medium,Normal,Severe,Ground,Corrosion
Tunnel,Wall,467.97,10.75,69.31,High,Low,None,UAV,Corrosion
Tunnel,Column,426.09,42.64,39.33,Medium,High,Partial,Fixed Camera,Spalling
Tunnel,Deck,491.04,4.67,35.26,Medium,Low,Partial,Fixed Camera,Spalling
Tunnel,Deck,315.86,18.13,83.75,Medium,Normal,None,Ground,Spalling
Road,Surface,127.52,34.18,11.03,Low,Low,Partial,Fixed Camera,Deformation
Building,Surface,85.59,14.07,67.91,Low,Low,None,UAV,Crack
Bridge,Beam,97.52,41.47,25.62,High,Low,None,Ground,Corrosion
Bridge,Wall,14.8,37.12,2.53,High,Low,Partial,Fixed Camera,Healthy
Building,Beam,198.39,39.56,17.51,Medium,High,None,Fixed Camera,Spalling
Bridge,Surface,99.76,6.4,61.06,Medium,Normal,Severe,Ground,Spalling
Building,Column,208.77,7.46,71.2,High,High,None,Ground,Corrosion
Bridge,Surface,467.82,14.68,3.08,Low,Low,None,Ground,Spalling
Tunnel,Wall,218.12,26.14,4.61,High,Low,Partial,UAV,Crack
Bridge,Surface,439.6,37.53,90.35,Medium,Normal,Severe,UAV,Spalling
Building,Wall,304.72,41.91,8.26,Medium,Normal,None,Fixed Camera,Healthy
Building,Wall,127.33,35.36,89.52,Low,High,None,Fixed Camera,Spalling
Building,Wall,181.15,46.47,23.59,Medium,High,None,Ground,Crack
Building,Wall,46.54,37.07,74.26,High,Normal,None,Fixed Camera,Deformation
Building,Wall,170.06,15.66,31.66,Low,High,None,Fixed Camera,Corrosion
Road,Column,340.38,13.62,86.02,Medium,Low,None,Ground,Crack
Road,Beam,40.69,34.96,70.35,Low,Low,Severe,UAV,Healthy
Bridge,Deck,106.67,10.05,40.78,High,Normal,Severe,UAV,Crack
Building,Beam,193.81,5.09,8.55,Medium,High,None,UAV,Healthy
Bridge,Wall,491.11,26.85,73.54,High,Low,None,Fixed Camera,Corrosion
Building,Column,393.51,41.17,62.07,Low,Normal,Partial,Ground,Deformation
Building,Surface,368.08,5.52,1.29,Low,High,Severe,UAV,Spalling
Road,Column,62.51,39.7,1.93,Low,Low,Severe,Fixed Camera,Crack
Road,Wall,391.59,40.67,81.07,Low,High,None,Ground,Spalling
Tunnel,Column,393.71,24.37,26.68,Low,High,Severe,UAV,Healthy
Road,Column,302.55,3.34,63.98,Medium,High,Severe,UAV,Deformation
Tunnel,Wall,495.23,9.14,45.97,Low,Normal,Partial,Ground,Spalling
Tunnel,Column,166.0,35.52,86.48,Medium,Low,Partial,Fixed Camera,Healthy
Tunnel,Deck,470.93,35.73,91.78,Low,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,457.79,44.97,99.68,Medium,Low,Severe,UAV,Crack
Tunnel,Column,10.68,29.34,16.21,Medium,Low,Severe,Ground,Crack
Bridge,Surface,227.81,6.64,86.43,Medium,Normal,None,Fixed Camera,Deformation
Road,Wall,488.67,6.51,27.34,High,Normal,Partial,Ground,Deformation
Tunnel,Deck,56.05,36.2,59.49,Low,Low,None,Ground,Spalling
Building,Surface,276.15,9.6,51.07,Medium,Low,Partial,UAV,Healthy
Road,Column,489.58,16.76,2.78,Medium,Low,Partial,Ground,Deformation
Road,Surface,279.97,24.62,93.34,Medium,High,Partial,Ground,Corrosion
Tunnel,Beam,98.96,1.73,8.75,Medium,Low,Severe,Ground,Crack
Bridge,Deck,293.18,12.82,69.13,Medium,Normal,Partial,Fixed Camera,Healthy
Tunnel,Column,106.2,20.69,78.72,Medium,Normal,None,UAV,Crack
Bridge,Wall,262.25,14.34,79.73,Medium,Normal,Partial,UAV,Spalling
Building,Column,41.65,7.25,14.41,High,Low,None,Ground,Corrosion
Road,Wall,304.71,36.54,45.31,High,Low,Partial,Ground,Crack
Building,Column,260.81,40.75,83.11,Low,High,Partial,Fixed Camera,Spalling
Bridge,Surface,371.38,13.25,30.97,Low,High,Severe,UAV,Crack
Bridge,Surface,317.2,38.83,47.31,High,Normal,None,Fixed Camera,Healthy
Building,Surface,277.06,19.58,28.01,High,High,Partial,UAV,Corrosion
Bridge,Beam,346.44,25.58,46.89,Low,High,Partial,Fixed Camera,Spalling
Building,Wall,76.25,42.87,88.9,Low,Normal,None,Ground,Deformation
Road,Surface,299.7,37.62,46.06,High,Low,Partial,Fixed Camera,Deformation
Building,Beam,90.19,40.35,56.04,Medium,High,Severe,Ground,Healthy
Road,Wall,463.13,7.27,40.99,Low,Low,None,UAV,Crack
Building,Column,38.83,3.95,46.55,Medium,Normal,Severe,UAV,Crack
Bridge,Beam,218.04,44.72,2.5,High,Normal,None,Ground,Crack
Building,Deck,349.42,19.7,29.09,High,High,None,UAV,Healthy
Bridge,Beam,231.72,14.75,44.22,Medium,Normal,None,Fixed Camera,Healthy
Building,Beam,50.59,36.37,63.75,Medium,Normal,Partial,Ground,Corrosion
Building,Wall,278.92,41.9,45.56,Low,Normal,None,UAV,Deformation
Tunnel,Column,322.61,43.19,34.44,High,High,None,Fixed Camera,Crack
Bridge,Deck,353.38,16.14,39.42,Low,High,None,Fixed Camera,Crack
Tunnel,Surface,189.76,42.68,24.99,High,High,Severe,UAV,Deformation
Bridge,Surface,284.01,2.53,92.52,Low,Normal,None,UAV,Crack
Tunnel,Beam,228.09,2.96,52.65,High,Low,Partial,Fixed Camera,Corrosion
Road,Wall,337.67,31.36,2.33,Low,Normal,None,Ground,Spalling
Building,Wall,293.86,3.62,2.93,Medium,High,None,UAV,Deformation
Bridge,Surface,265.25,16.57,97.32,Low,Low,Severe,UAV,Corrosion
Bridge,Deck,128.51,33.8,22.92,Medium,Low,Partial,Ground,Spalling
Building,Column,6.0,17.19,80.76,High,High,Partial,Ground,Spalling
Bridge,Deck,91.17,9.39,6.77,Medium,Low,Partial,UAV,Crack
Bridge,Column,62.95,14.43,92.2,Medium,Low,None,Ground,Deformation
Tunnel,Surface,227.3,23.15,87.57,Low,High,None,Fixed Camera,Crack
Bridge,Column,308.07,24.03,57.54,High,Low,Partial,Fixed Camera,Crack
Road,Wall,110.48,39.26,1.89,Medium,Low,Partial,Fixed Camera,Corrosion
Road,Beam,469.83,37.63,26.52,Medium,High,Severe,UAV,Healthy
Building,Beam,8.31,23.11,41.28,High,Low,Partial,Ground,Crack
Bridge,Surface,387.29,42.36,46.55,Medium,Low,None,Fixed Camera,Crack
Building,Wall,314.48,6.15,30.47,Medium,Low,None,Ground,Crack
Road,Deck,189.91,13.14,4.26,Medium,Low,None,Fixed Camera,Corrosion
Bridge,Wall,29.99,41.48,59.42,Medium,High,Severe,Ground,Spalling
Bridge,Beam,315.61,19.21,52.89,High,Normal,Partial,Fixed Camera,Crack
Building,Beam,195.88,49.07,29.02,High,Normal,None,Fixed Camera,Deformation
Road,Wall,468.45,23.58,4.76,Low,Low,Severe,Fixed Camera,Deformation
Bridge,Wall,273.29,39.7,99.46,Low,High,Severe,Fixed Camera,Deformation
Building,Beam,470.13,20.41,48.72,Low,High,None,Fixed Camera,Corrosion
Road,Deck,114.14,21.54,75.84,Low,Low,Severe,Fixed Camera,Corrosion
Building,Surface,364.23,19.45,45.78,Medium,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Surface,310.54,36.09,5.27,High,Low,None,Fixed Camera,Spalling
Bridge,Wall,371.01,27.6,31.65,Low,High,Severe,Fixed Camera,Crack
Tunnel,Surface,111.26,47.22,32.69,Medium,High,None,Ground,Deformation
Road,Beam,334.17,12.92,84.0,High,Normal,None,Ground,Corrosion
Tunnel,Beam,251.53,5.48,65.77,High,High,Severe,UAV,Crack
Tunnel,Wall,372.7,19.97,28.27,Medium,High,None,Fixed Camera,Crack
Road,Wall,166.89,31.03,96.81,High,High,None,Ground,Crack
Building,Wall,445.58,43.11,32.83,Medium,Normal,Partial,Ground,Healthy
Tunnel,Deck,46.73,17.64,99.83,Low,High,None,Ground,Crack
Building,Surface,404.56,32.86,99.62,Low,Low,Partial,Ground,Healthy
Tunnel,Wall,431.35,17.83,19.93,Low,Normal,Partial,Ground,Spalling
Building,Column,409.54,31.05,31.96,Low,Low,Partial,Ground,Healthy
Road,Column,258.8,44.3,49.12,High,Low,Partial,UAV,Corrosion
Tunnel,Beam,222.0,11.95,66.75,High,Normal,Severe,Ground,Healthy
Road,Surface,498.15,20.51,53.28,Medium,Low,Severe,UAV,Crack
Tunnel,Wall,118.44,49.67,96.97,Medium,Normal,None,UAV,Spalling
Road,Column,275.7,43.49,72.67,Low,Low,None,Fixed Camera,Crack
Road,Surface,336.98,28.45,21.99,Medium,Normal,None,Fixed Camera,Corrosion
Tunnel,Beam,351.93,26.07,11.4,High,High,Severe,Fixed Camera,Spalling
Tunnel,Deck,105.99,14.59,69.15,Low,High,Partial,Ground,Spalling
Tunnel,Surface,328.73,26.1,16.69,Low,Low,Severe,Fixed Camera,Corrosion
Bridge,Surface,410.09,42.48,78.98,Medium,High,Severe,Ground,Crack
Building,Deck,29.76,34.42,31.79,Medium,Normal,None,Ground,Spalling
Bridge,Surface,456.2,14.86,33.36,Medium,Low,None,Fixed Camera,Corrosion
Bridge,Beam,19.6,10.47,2.07,Medium,High,None,Fixed Camera,Crack
Road,Beam,181.21,13.63,70.4,Medium,High,Partial,UAV,Healthy
Tunnel,Deck,12.83,8.9,12.21,Low,Low,Partial,UAV,Healthy
Building,Wall,43.19,5.23,77.52,Low,High,Severe,Ground,Healthy
Road,Column,456.03,21.25,49.69,Medium,High,Partial,Ground,Deformation
Bridge,Wall,180.66,6.11,78.64,High,Low,None,Fixed Camera,Crack
Tunnel,Surface,215.26,9.01,58.81,High,High,Partial,Fixed Camera,Healthy
Road,Column,111.6,27.59,9.16,High,High,Partial,UAV,Corrosion
Tunnel,Deck,300.56,8.65,76.8,Medium,High,Partial,Fixed Camera,Crack
Road,Deck,299.43,3.66,7.91,Medium,High,Partial,Ground,Deformation
Tunnel,Column,189.24,16.21,48.39,Medium,Low,None,Fixed Camera,Crack
Bridge,Beam,169.85,11.41,18.06,High,Normal,None,UAV,Spalling
Building,Column,443.06,26.01,75.48,Low,Normal,Severe,Ground,Crack
Bridge,Surface,194.73,5.57,91.25,Medium,High,Severe,UAV,Corrosion
Building,Beam,249.28,37.71,55.86,Medium,High,Severe,UAV,Spalling
Tunnel,Deck,145.24,45.36,53.19,Medium,Normal,Partial,Ground,Corrosion
Road,Column,394.45,37.3,76.63,Low,High,Partial,UAV,Crack
Bridge,Wall,201.74,26.87,1.5,Medium,Normal,None,Fixed Camera,Corrosion
Building,Wall,259.24,43.1,91.86,High,Low,Severe,Fixed Camera,Corrosion
Bridge,Surface,130.41,34.9,20.55,Medium,Low,None,UAV,Crack
Building,Wall,493.89,1.02,98.43,High,Low,Severe,Fixed Camera,Healthy
Bridge,Column,149.29,20.01,73.89,Low,Low,Severe,UAV,Corrosion
Building,Column,386.52,42.62,77.65,High,Low,Severe,Fixed Camera,Healthy
Building,Wall,216.61,17.62,65.96,Medium,Low,Partial,UAV,Crack
Tunnel,Column,107.08,2.24,47.69,Medium,Normal,Severe,Fixed Camera,Corrosion
Building,Surface,400.86,37.44,57.59,Low,High,Severe,Ground,Crack
Tunnel,Beam,170.14,40.2,5.59,Low,Normal,Partial,Ground,Corrosion
Building,Surface,433.27,8.45,62.77,Medium,Low,Severe,Fixed Camera,Crack
Road,Surface,458.05,27.1,62.98,Medium,High,Partial,UAV,Corrosion
Road,Column,430.61,10.0,89.23,Medium,High,Partial,Fixed Camera,Corrosion
Road,Beam,22.33,36.1,51.06,Low,Low,None,UAV,Crack
Building,Column,394.75,13.94,8.64,High,Low,Partial,Fixed Camera,Spalling
Tunnel,Deck,208.61,16.15,31.31,High,Low,Partial,Fixed Camera,Healthy
Tunnel,Column,437.49,42.33,65.91,Low,Low,Partial,Ground,Crack
Building,Column,320.79,24.08,24.69,Medium,Low,Severe,UAV,Deformation
Road,Column,417.65,33.65,28.77,High,Low,None,UAV,Deformation
Road,Beam,252.22,20.42,82.23,Medium,High,Severe,UAV,Corrosion
Tunnel,Column,269.84,15.25,58.85,Low,Low,Partial,UAV,Healthy
Road,Beam,76.47,31.46,51.34,Medium,Low,Partial,UAV,Healthy
Bridge,Wall,393.07,8.17,32.53,Low,High,None,Ground,Corrosion
Tunnel,Deck,212.6,18.96,73.36,Low,Normal,None,Fixed Camera,Spalling
Road,Beam,252.54,10.85,29.48,Low,Low,Partial,UAV,Spalling
Tunnel,Wall,393.62,34.94,73.97,Medium,High,Partial,UAV,Corrosion
Bridge,Beam,301.43,47.24,7.94,Low,High,Severe,Fixed Camera,Corrosion
Tunnel,Beam,104.54,49.78,86.59,High,Normal,Partial,Ground,Healthy
Tunnel,Deck,297.17,22.79,50.46,Low,Low,Severe,Ground,Deformation
Tunnel,Surface,206.78,13.0,44.41,Low,Low,None,Ground,Crack
Tunnel,Surface,237.42,22.42,61.49,Medium,Low,Severe,Fixed Camera,Crack
Bridge,Beam,19.01,42.44,62.8,Low,High,Partial,Fixed Camera,Healthy
Building,Column,108.96,10.7,14.07,Medium,Low,Severe,Ground,Crack
Tunnel,Wall,144.11,47.63,75.87,Low,Low,Severe,Ground,Deformation
Tunnel,Column,357.92,17.42,28.32,Low,Low,None,Fixed Camera,Crack
Road,Column,10.69,49.3,90.59,Low,Low,Severe,Ground,Crack
Tunnel,Beam,207.34,42.01,81.97,Medium,Normal,Partial,UAV,Crack
Road,Beam,462.39,40.52,35.28,Low,Normal,Severe,Fixed Camera,Corrosion
Building,Beam,60.38,16.24,80.97,High,Normal,Severe,Ground,Crack
Bridge,Beam,260.63,0.93,36.28,Medium,Low,Severe,UAV,Spalling
Bridge,Surface,394.33,19.42,10.99,Medium,Low,Partial,Fixed Camera,Spalling
Building,Beam,471.55,15.44,96.23,Medium,High,Severe,Fixed Camera,Corrosion
Bridge,Surface,374.65,2.35,65.61,Medium,High,Partial,UAV,Deformation
Building,Surface,361.68,25.52,46.15,High,High,Severe,Fixed Camera,Corrosion
Building,Beam,414.11,20.45,40.38,Low,Low,None,Ground,Corrosion
Building,Deck,225.87,31.91,33.15,Low,Normal,None,Fixed Camera,Corrosion
Bridge,Wall,403.89,31.25,98.16,Low,Normal,None,Ground,Corrosion
Road,Column,8.94,6.48,14.34,Low,Normal,Partial,UAV,Healthy
Building,Surface,462.66,48.86,32.17,Low,Low,Partial,UAV,Deformation
Tunnel,Wall,224.44,9.75,49.06,Medium,Normal,Partial,Fixed Camera,Corrosion
Bridge,Deck,278.92,22.54,48.32,Medium,High,Severe,UAV,Deformation
Building,Column,131.17,24.66,47.67,High,High,Partial,UAV,Corrosion
Building,Column,372.55,40.75,18.4,Low,Normal,Partial,Fixed Camera,Crack
Tunnel,Surface,42.93,5.41,15.35,Low,High,Partial,Ground,Corrosion
Road,Beam,436.95,21.72,26.22,High,Normal,Partial,Fixed Camera,Deformation
Road,Deck,414.92,31.61,91.54,High,Normal,None,Fixed Camera,Corrosion
Road,Surface,111.95,11.15,12.19,Medium,High,Severe,Ground,Healthy
Building,Deck,405.62,31.56,75.99,Medium,High,None,Ground,Corrosion
Building,Beam,394.25,46.22,76.0,High,High,Severe,Ground,Corrosion
Building,Beam,317.95,49.88,81.17,Medium,High,Severe,Fixed Camera,Healthy
Bridge,Surface,189.89,2.11,88.77,Low,Normal,None,Ground,Corrosion
Tunnel,Beam,139.39,12.16,27.04,High,High,Partial,UAV,Deformation
Building,Wall,119.73,15.86,23.23,Medium,High,None,Ground,Deformation
Tunnel,Column,162.71,20.26,47.09,Low,Low,Severe,UAV,Healthy
Tunnel,Surface,452.26,12.49,27.24,Medium,High,Severe,Ground,Crack
Road,Deck,43.43,10.57,73.7,Medium,High,Partial,UAV,Crack
Bridge,Wall,415.29,47.75,63.96,High,Normal,None,UAV,Deformation
Building,Surface,177.7,45.97,87.62,Low,Normal,Severe,UAV,Spalling
Road,Beam,263.19,2.83,9.19,High,Low,None,UAV,Spalling
Road,Beam,398.27,17.27,91.59,Medium,High,Partial,UAV,Crack
Building,Beam,442.77,20.55,30.04,Medium,High,Partial,Ground,Corrosion
Tunnel,Beam,175.67,12.33,49.58,Low,High,Severe,Fixed Camera,Spalling
Road,Deck,233.61,31.63,44.42,Medium,High,Partial,Fixed Camera,Crack
Tunnel,Wall,210.19,32.2,76.27,High,High,Severe,Fixed Camera,Crack
Bridge,Column,11.56,42.6,42.61,Low,High,Severe,Fixed Camera,Crack
Tunnel,Deck,151.49,37.17,94.41,Low,Low,Partial,Fixed Camera,Crack
Bridge,Deck,232.3,27.36,90.35,Medium,High,Partial,UAV,Deformation
Tunnel,Column,208.49,32.85,87.34,High,High,None,Ground,Deformation
Road,Column,362.35,14.06,8.05,Low,High,None,UAV,Crack
Road,Beam,195.48,29.86,85.57,Medium,Low,Severe,Ground,Crack
Bridge,Deck,247.24,24.72,78.38,Medium,High,None,Ground,Spalling
Building,Surface,217.66,7.1,11.25,Low,Low,Severe,Ground,Corrosion
Bridge,Column,371.61,12.51,11.63,Medium,Normal,Partial,Ground,Deformation
Bridge,Column,432.17,14.94,11.02,Low,High,Partial,Fixed Camera,Deformation
Tunnel,Wall,268.29,46.25,2.12,High,Low,None,Ground,Healthy
Tunnel,Surface,395.77,11.9,55.31,Medium,Normal,Severe,Ground,Spalling
Bridge,Surface,151.91,14.82,97.37,Medium,Low,Severe,Fixed Camera,Corrosion
Road,Column,272.98,18.78,44.43,Low,Low,None,UAV,Spalling
Tunnel,Beam,175.89,33.36,54.53,Low,Normal,Severe,UAV,Crack
Building,Wall,210.03,6.35,96.83,High,High,Severe,UAV,Crack
Tunnel,Surface,367.54,47.72,26.26,Medium,High,Partial,UAV,Crack
Tunnel,Column,441.42,43.35,85.99,Medium,Low,Severe,Ground,Corrosion
Building,Surface,65.14,29.07,55.09,Medium,Normal,Severe,Fixed Camera,Crack
Bridge,Wall,319.15,33.86,57.38,Medium,High,Severe,Fixed Camera,Crack
Building,Wall,293.16,1.32,34.97,Low,Low,None,UAV,Spalling
Bridge,Deck,63.62,17.28,56.6,Low,Normal,None,Fixed Camera,Healthy
Bridge,Column,109.89,39.89,8.24,Low,Low,None,Ground,Crack
Bridge,Wall,158.95,4.34,76.7,High,Normal,Severe,UAV,Spalling
Building,Deck,87.63,14.47,29.18,Low,High,Severe,Ground,Crack
Bridge,Deck,125.65,29.47,88.87,Low,High,None,Ground,Healthy
Road,Surface,137.46,13.19,37.42,High,Low,None,Ground,Corrosion
Building,Surface,171.16,46.73,15.14,Low,High,Severe,Ground,Healthy
Road,Deck,375.95,6.99,69.89,Medium,High,Severe,Ground,Corrosion
Bridge,Surface,288.1,39.97,17.29,Low,Normal,Partial,UAV,Deformation
Tunnel,Wall,493.19,25.64,75.61,Low,High,None,Ground,Crack
Bridge,Beam,210.29,37.64,96.84,Medium,Normal,Severe,UAV,Corrosion
Road,Wall,378.16,15.88,78.18,Low,Normal,None,Fixed Camera,Crack
Road,Deck,436.38,25.97,3.22,High,Low,None,Ground,Crack
Building,Deck,341.09,42.91,60.39,Medium,Normal,None,Ground,Deformation
Tunnel,Wall,208.87,23.61,69.85,Low,High,Partial,Fixed Camera,Spalling
Building,Surface,378.03,18.31,82.72,Low,Normal,Severe,UAV,Corrosion
Road,Surface,105.82,27.04,6.54,Medium,Normal,Severe,Ground,Healthy
Bridge,Deck,167.14,36.01,48.53,Low,Low,None,Fixed Camera,Corrosion
Tunnel,Column,275.61,22.46,54.0,Low,High,Severe,Fixed Camera,Healthy
Bridge,Surface,289.83,46.97,17.74,Medium,High,Partial,Ground,Crack
Bridge,Wall,15.96,15.1,32.92,High,High,None,UAV,Healthy
Tunnel,Surface,472.83,24.04,44.58,Medium,Normal,Partial,UAV,Crack
Building,Wall,349.83,37.97,83.49,Medium,High,Partial,Ground,Spalling
Bridge,Deck,250.37,34.61,93.01,High,High,Severe,Fixed Camera,Corrosion
Road,Surface,466.9,43.25,63.21,Low,Normal,Severe,Ground,Spalling
Bridge,Wall,222.35,49.84,40.1,High,Low,Partial,UAV,Spalling
Tunnel,Deck,490.32,21.63,26.15,High,Low,Severe,Fixed Camera,Corrosion
Tunnel,Column,258.58,6.0,98.23,Low,Normal,Partial,Ground,Healthy
Tunnel,Wall,61.57,2.01,98.32,High,Low,Partial,Fixed Camera,Healthy
Building,Column,383.58,36.48,92.57,Low,Low,None,UAV,Healthy
Bridge,Column,341.05,43.76,78.78,Low,Low,Partial,UAV,Healthy
Building,Beam,387.63,11.43,33.25,High,High,Partial,UAV,Deformation
Building,Surface,475.96,8.34,81.88,Medium,Low,Severe,Ground,Healthy
Tunnel,Wall,389.36,3.58,41.47,Low,High,None,Fixed Camera,Healthy
Tunnel,Column,307.61,41.22,33.35,Low,Low,Severe,Ground,Corrosion
Building,Beam,429.37,15.91,74.74,High,High,None,Ground,Deformation
Bridge,Deck,338.26,20.38,8.89,High,Normal,Severe,Ground,Healthy
Road,Wall,207.02,25.39,5.81,Medium,Normal,Partial,Ground,Deformation
Building,Column,443.38,42.05,45.35,High,Low,None,Fixed Camera,Corrosion
Bridge,Surface,114.84,32.72,45.12,Low,High,None,Fixed Camera,Crack
Tunnel,Beam,358.75,30.95,89.67,Low,Normal,None,Ground,Deformation
Tunnel,Column,441.37,9.2,13.49,Medium,Normal,None,Ground,Healthy
Bridge,Surface,367.0,25.9,13.21,High,Normal,Severe,UAV,Corrosion
Road,Column,350.15,35.91,15.6,Low,Normal,Severe,UAV,Crack
Tunnel,Wall,377.56,48.68,3.94,Low,Low,None,Fixed Camera,Corrosion
Tunnel,Wall,235.2,10.47,8.1,High,High,None,UAV,Spalling
Tunnel,Wall,437.71,0.97,66.33,High,Normal,None,Fixed Camera,Corrosion
Bridge,Beam,105.7,4.23,43.73,Medium,Low,Severe,Fixed Camera,Spalling
Building,Wall,68.06,19.1,76.6,Low,Normal,None,Fixed Camera,Healthy
Tunnel,Surface,146.33,41.12,99.27,High,Normal,None,UAV,Spalling
Building,Column,268.13,0.85,66.24,High,Normal,None,UAV,Corrosion
Road,Deck,257.73,23.11,6.0,Medium,Normal,Severe,Fixed Camera,Healthy
